Алтайский край                           | Altai Krai
Амурская область                         | Amur Oblast
Архангельская область                    | Arkhangelsk Oblast
Астраханская область                     | Astrakhan Oblast
Белгородская область                     | Belgorod Oblast
Брянская область                         | Bryansk Oblast
Владимирская область                     | Vladimir Oblast
Волгоградская область                    | Volgograd Oblast
Вологодская область                      | Vologda Oblast
Воронежская область                      | Voronezh Oblast
Еврейская автономная область             | Jewish Autonomous Oblast
Забайкальский край                       | Zabaykalsky Krai
Ивановская область                       | Ivanovo Oblast
Иркутская область                        | Irkutsk Oblast
Кабардино-Балкарская Республика          | Kabardino-Balkar Republic
Калининградская область                  | Kaliningrad Oblast
Калужская область                        | Kaluga Oblast
Камчатский край                          | Kamchatka Krai
Карачаево-Черкесская Республика          | Karachay-Cherkess Republic
Кемеровская область                      | Kemerovo Oblast
Кировская область                        | Kirov Oblast
Костромская область                      | Kostroma Oblast
Краснодарский край                       | Krasnodar Krai
Красноярский край                        | Krasnoyarsk Krai
Курганская область                       | Kurgan Oblast
Курская область                          | Kursk Oblast
Ленинградская область                    | Leningrad Oblast
Липецкая область                         | Lipetsk Oblast
Магаданская область                      | Magadan Oblast
Москва                                   | Moscow
Московская область                       | Moscow Oblast
Мурманская область                       | Murmansk Oblast
Ненецкий автономный округ                | Nenets Autonomous Okrug
Нижегородская область                    | Nizhny Novgorod Oblast
Новгородская область                     | Novgorod Oblast
Новосибирская область                    | Novosibirsk Oblast
Омская область                           | Omsk Oblast
Оренбургская область                     | Orenburg Oblast
Орловская область                        | Oryol Oblast
Пензенская область                       | Penza Oblast
Пермский край                            | Perm Krai
Приморский край                          | Primorsky Krai
Псковская область                        | Pskov Oblast
Республика Адыгея                        | Republic of Adygea
Республика Алтай                         | Altai Republic
Республика Башкортостан                  | Republic of Bashkortostan
Республика Бурятия                       | Republic of Buryatia
Республика Дагестан                      | Republic of Dagestan
Республика Ингушетия                     | Republic of Ingushetia
Республика Калмыкия                      | Republic of Kalmykia
Республика Карелия                       | Republic of Karelia
Республика Коми                          | Komi Republic
Республика Марий Эл                      | Mari El Republic
Республика Мордовия                      | Republic of Mordovia
Республика Крым                          | Republic of Crimea
Республика Саха (Якутия)                 | Republic of Sakha (Yakutia)
Республика Северная Осетия — Алания      | Republic of North Ossetia – Alania
Республика Татарстан                     | Republic of Tatarstan
Республика Тыва                          | Tyva Republic
Республика Хакасия                       | Republic of Khakassia
Ростовская область                       | Rostov Oblast
Рязанская область                        | Ryazan Oblast
Самарская область                        | Samara Oblast
Санкт-Петербург                          | Saint Petersburg
Саратовская область                      | Saratov Oblast
Сахалинская область                      | Sakhalin Oblast
Свердловская область                     | Sverdlovsk Oblast
Севастополь                              | Sevastopol
Смоленская область                       | Smolensk Oblast
Ставропольский край                      | Stavropol Krai
Тамбовская область                       | Tambov Oblast
Тверская область                         | Tver Oblast
Томская область                          | Tomsk Oblast
Тульская область                         | Tula Oblast
Тюменская область                        | Tyumen Oblast
Удмуртская Республика                    | Udmurt Republic
Ульяновская область                      | Ulyanovsk Oblast
Хабаровский край                         | Khabarovsk Krai
Ханты-Мансийский автономный округ — Югра | Khanty-Mansi Autonomous Okrug – Yugra
Челябинская область                      | Chelyabinsk Oblast
Чеченская Республика                     | Chechen Republic
Чувашская Республика                     | Chuvash Republic
Чукотский автономный округ               | Chukotka Autonomous Okrug
Ямало-Ненецкий автономный округ          | Yamalo-Nenets Autonomous Okrug
Ярославская область                      | Yaroslavl Oblast
